,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
80,003if,8/3q1kpp/1P2p3/4Q3/5P2/4B2P/2r3PK/8 b - - 0 43,d7b7 e5h5 f7e7 e3c5 c2c5 h5c5,1632,107,53,21,advantage endgame long,https://lichess.org/mYGtlm6w/black#86,
81,003jH,rn3rk1/p5pp/3N4/4np1q/5Q2/1P3K2/PB1P2P1/2R4R w - - 0 25,f3f2 e5d3 f2e3 d3f4 h1h5 f4h5,1067,78,89,315,crushing fork long middlegame,https://lichess.org/3CQGofXT#49,
82,003jb,r3kb1r/p4ppp/b1p1p3/3q4/3Q4/4BN2/PPP2PPP/R3K2R b KQkq - 0 11,c6c5 d4a4 a6b5 a4b5,989,86,95,2583,crushing fork master middlegame short,https://lichess.org/960EzUS0/black#22,French_Defense French_Defense_Classical_Variation
83,003jv,1R6/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 w - - 10 37,b8h8 d6f7 e5e4 f7h8,1007,84,89,339,crushing endgame fork short,https://lichess.org/n0UvwK36#73,
84,003md,r1b1k2N/ppp3pp/2n5/2bp4/7q/1B4n1/PPPP1P1P/RNBQ1RK1 w q - 0 10,f1e1 g3e4 e1e4 d5e4 d1h5 h4h5 b3f7 h5f7,2155,78,84,210,crushing defensiveMove middlegame veryLong,https://lichess.org/ALtR2fxT#19,Russian_Game Russian_Game_Italian_Variation
85,003mh,r4k1r/1pp2p2/p2p3p/3N4/3P2q1/8/PPP5/1K2Q1NR b - - 1 23,a8e8 e1e8 f8e8 d5f6 e8e7 f6g4,1436,76,94,174,advantage attraction fork long middlegame sacrifice,https://lichess.org/HSa4keKZ/black#46,
86,003nQ,6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R4R1K w - - 2 29,f1g1 f5g3 f2g3 g8g3,1287,87,67,31,crushing kingsideAttack master middlegame pin short,https://lichess.org/p85fiZcl#57,
87,003o0,r1bqk2r/pp1nbppp/3p4/1B1p4/3P1B2/8/PPP2PPP/R2QK1NR w KQkq - 2 9,g1f3 d8a5 d1d2 a5b5,1003,83,90,675,advantage fork master opening short,https://lichess.org/Ae0t9V1Z#17,Czech_Defense Czech_Defense_Other_variations
88,003r5,r2qr1k1/ppp2ppp/4b3/3P4/1nP2Q2/2N2N1P/PP3KP1/R4R2 w - - 1 15,d5e6 b4d3 f2g1 d3f4,1107,77,88,859,crushing fork middlegame short,https://lichess.org/JPN97v7j#29,Kings_Gambit_Accepted Kings_Gambit_Accepted_Abbazia_Defense
89,003wQ,2r2rk1/6pp/3Q1q2/8/3N1B2/6P1/PP1K3P/R4b2 w - - 0 24,a1f1 f6d6 f4d6 f8f1,1975,76,92,1990,advantage discoveredAttack middlegame pin short,https://lichess.org/W3wvnzlo#47,
90,0040n,r7/p2k1pp1/p1p1pn2/3p4/3P4/P3PQp1/1PP2P1q/2K4R w - - 0 20,h1h2 g3h2 f3h3 f6g4,1499,106,100,114,advancedPawn advantage endgame short,https://lichess.org/WIUWcrdG#39,
91,0042j,3r2k1/4nppp/pq1p1b2/1p2P3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 b - - 0 24,d6e5 d2d8 b6d8 d1d8,400,109,91,1378,backRankMate mate mateIn2 middlegame short,https://lichess.org/DuM2FZjg/black#48,
92,00465,3r1Q1k/pp4pp/2p5/6q1/5R2/2P5/P1P2PPP/3rR1K1 b - - 8 27,d8f8 f4f8,585,88,100,262,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/h21VtqGG/black#54,
93,0047P,8/1N3k2/6p1/8/2P3P1/pr6/R5K1/8 w - - 1 56,g2f1 b3b1 f1e2 b1b2 e2d1 b2a2,1769,75,86,91,crushing endgame exposedKing fork long master,https://lichess.org/Gb33KZKC#111,
94,0048h,4r3/p5k1/2p2R1p/2Pp4/1P1pr1P1/P6P/8/3R3K w - - 1 35,f6c6 e4e1 d1e1 e8e1 h1g2 d4d3,1187,75,97,1830,crushing endgame exposedKing long rookEndgame,https://lichess.org/dq15P00L#69,
95,004Ao,4qk2/1b3rR1/p7/1p2Q3/4P2P/P2P3K/2r5/3R4 w - - 5 41,g7f7 e8f7 e5h8 f8e7,1711,96,86,22,advantage endgame short,https://lichess.org/aFlzjb1K#81,
96,004Ax,8/8/4R1kp/p7/5rPK/8/7P/8 b - - 2 42,g6f7 e6h6 f4f6 h6h7 f7g6 h7a7,1912,77,92,573,crushing endgame exposedKing long rookEndgame,https://lichess.org/x2mMwVJD/black#84,
97,004BW,r1bk2r1/ppq2pQp/3bpn2/1BpnN3/5P2/1P6/PBPP2PP/RN2K2R w KQ - 3 13,e5f7 d8e7 g7g8 f6g8,1643,75,91,1708,advantage master middlegame short,https://lichess.org/EXlG6TZs#25,Sicilian_Defense Sicilian_Defense_Modern_Variations
98,004JD,3r4/R7/2p5/p1P2p2/1p4k1/nP6/P2KNP2/8 w - - 3 41,d2e3 a3c2,1248,80,91,2766,endgame mate mateIn1 oneMove,https://lichess.org/6vTeEc3x#81,
99,004LZ,8/7R/5p2/p7/7P/2p5/3k2r1/1K2N3 w - - 3 48,e1g2 c3c2 b1a2 c2c1q h7d7 d2e2,1201,77,93,2035,advancedPawn crushing defensiveMove deflection endgame long promotion,https://lichess.org/drahwNdj#95,
